leader_id|attached_id|
000001348|000000116|
000001611|000000305|
000000460|000000471|
000000461|000000471|
000000462|000000490|
000000463|000000467|
000002688|000002687|
000002688|000000471|
000002694|000000484|
000002694|000002691|
000002694|000002692|
000000499|000000476|
000001611|000000326|
000002100|000002799|
000000169|000000147|
000002530|000002718|
000002530|000002779|
000002530|000001159|
000002199|000000305|
000002199|000001177|
000000226|000002799|
000002199|000000303|
000000226|000000305|
000002199|000002797|
000001344|000000064|
000002677|000000231|
000001345|000002806|
000001346|000001606|
000002677|000002302|
000000158|000000326|
000001346|000000315|
000002234|000002255|
000002234|000002797|
000002100|000000071|
000002234|000001157|
000002473|000002099|
000002473|000001177|
000002266|000001606|
000002266|000002797|
000001527|000000116|
000001527|000000241|
000001162|000001160|
000001162|000000310|
000001165|000000071|
000001167|000000116|
000000160|000002783|
000001172|000002781|
000001172|000002099|
000001174|000002797|
000000317|000001183|
000001174|000000315|
000001174|000000303|
000001182|000000116|
000002100|000000070|
000000876|000002799|
000000160|000000070|
000002105|000000118|
000000063|000000116|
000000073|000000303|
000000073|000002780|
000002701|000001668|
000002701|000002806|
000002701|000001160|
000002701|000000310|
000002701|000002718|
000002702|000000116|
000002707|000000126|
000002707|000002799|
000002707|000002783|
000002707|000000303|
000002707|000003698|
000002708|000002776|
000002708|000000147|
000002709|000002772|
000002709|000002255|
000002709|000000315|
000002713|000002255|
000002713|000003698|
000002100|000003698|
000002678|000000070|
000002726|000002772|
000002726|000000070|
000002726|000001606|
000002726|000000303|
000002707|000002798|
000002678|000002725|
000002678|000003698|
000002678|000000147|
000002678|000002255|
000002678|000000303|
000000079|000000118|
000000079|000001183|
000000317|000002302|
000000081|000002799|
000000081|000000305|
000000081|000002255|
000000081|000000070|
000000083|000002776|
000000083|000000147|
000000083|000003874|
000000112|000002776|
000000112|000000147|
000000115|000000118|
000000115|000001183|
000000140|000002797|
000000073|000002098|
000000135|000000118|
000001346|000000070|
000000140|000002202|
000000140|000002799|
000002266|000002255|
000000148|000000315|
000000148|000002799|
000000148|000000147|
000000148|000002103|
000000219|000002302|
000000140|000000303|
000000119|000001668|
000000119|000002806|
000000119|000000128|
000000119|000002779|
000000121|000003698|
000000121|000001606|
000000121|000002799|
000000127|000001177|
000000127|000002099|
000000127|000002781|
000000060|000001177|
000000060|000002099|
000000924|000000952|
000000931|000000957|
000000932|000000957|
000000935|000000957|
000000936|000002570|
000000936|000000952|
000002569|000002571|
000001355|000000952|
000000928|000002570|
000000925|000000952|
000000944|000000966|
000001584|000000952|
000000941|000002570|
000001581|000000952|
000000942|000002570|
000002731|000002590|
000001600|000000946|
000001600|000002571|
000000938|000000952|
000001355|000002570|
000000939|000000947|
000000940|000000957|
000000941|000000952|
000000941|000003876|
000000942|000000952|
000001584|000002570|
000000943|000000957|
000000944|000000952|
000000944|000003876|
000001581|000000953|
000000924|000000947|
000000929|000000952|
000000933|000002570|
000000930|000000947|
000000933|000000952|
000000933|000003876|
000000934|000000952|
000000934|000003876|
000000936|000003876|
000000938|000002570|
000000936|000000946|
000001354|000002570|
000001581|000003876|
000002731|000002732|
000002589|000002590|
000002489|000002494|
000000009|000000045|
000002080|000000044|
000002080|000000020|
000001536|000003861|
000000015|000000044|
000000015|000000021|
000000015|000000019|
000000012|000000016|
000000012|000000020|
000000928|000000952|
000000022|000003861|
000002491|000002494|
000000013|000000016|
000000013|000003861|
000000013|000000044|
000000013|000000020|
000000001|000003861|
000000001|000000016|
000000002|000000024|
000000004|000000016|
000002492|000002494|
000000006|000000024|
000002080|000000019|
000002080|000000016|
000002080|000000021|
000001536|000000016|
000000011|000000025|
000000010|000000027|
000001537|000000033|
000000008|000000024|
000000015|000000020|
000000015|000000016|
000000012|000000021|
000000012|000003861|
000000012|000000038|
000000022|000000016|
000000013|000000021|
000000007|000000033|
000000014|000000033|
000002354|000000535|
000000522|000000535|
000000522|000000536|
000002351|000002359|
000002351|000002116|
000000524|000000536|
000000524|000000535|
000000527|000000536|
000000527|000000535|
000000527|000000534|
000000530|000000535|
000000530|000000534|
000002352|000000546|
000000523|000000535|
000000523|000000536|
000000523|000000534|
000002108|000000535|
000002108|000000534|
000003693|000000534|
000002353|000000534|
000002353|000000535|
000003693|000000536|
000002350|000000535|
000002350|000000534|
000002109|000002110|
000002352|000000535|
000002352|000000534|
000003693|000000535|
000000532|000000536|
000000532|000000535|
000000532|000000534|
000000528|000000535|
000000528|000000536|
000000528|000000534|
000000531|000000535|
000002354|000000534|
000000522|000000534|
000000524|000000534|
000000164|000002737|
000000112|000003874|
000000158|000001157|
000000158|000002798|
000000158|000000303|
000003833|000002737|
000000159|000000116|
000003831|000001606|
000002678|000000305|
000003831|000000070|
000000160|000002780|
000000151|000002776|
000002607|000002615|
000000716|000000684|
000000716|000002615|
000002605|000000684|
000002378|000002389|
000002386|000002389|
000002608|000000684|
000002605|000002616|
000002605|000002613|
000002605|000002612|
000002605|000002615|
000002605|000002614|
000002608|000002614|
000002608|000002613|
000000889|000002615|
000000889|000002746|
000000889|000000684|
000000889|000002613|
000002375|000000684|
000002375|000002613|
000001396|000002615|
000001396|000002613|
000001396|000002614|
000001396|000001397|
000001396|000000684|
000001394|000002615|
000001394|000002746|
000001394|000000684|
000001394|000002613|
000002606|000002615|
000002606|000002612|
000002606|000000684|
000002607|000002612|
000002607|000000684|
000002609|000002612|
000000716|000002613|
000000716|000002746|
000000716|000002612|
000002385|000000684|
000002385|000002613|
000000719|000002746|
000000889|000002614|
000001394|000002614|
000001394|000002612|
000001396|000002612|
000000889|000002612|
000000713|000002614|
000000714|000002614|
000000716|000002614|
000000839|000000841|
000000839|000000842|
000000840|000000849|
000000840|000000841|
000000840|000000844|
000001580|000000849|
000001580|000000848|
000002477|000000849|
000002477|000000848|
000000846|000000845|
000000839|000000849|
000000839|000000848|
000000839|000000843|
000000839|000000844|
000002478|000000849|
000002478|000000848|
000000840|000000848|
000000840|000000842|
000000840|000000843|
000001580|000000844|
000001580|000000843|
000001580|000000842|
000001580|000000841|
000002477|000000844|
000002477|000000843|
000002477|000000842|
000002477|000000841|
000000158|000000126|
000000219|000000118|
000002291|000000116|
000000158|000000305|
000000218|000002799|
000000218|000003698|
000000218|000002255|
000000079|000002302|
000002296|000000126|
000000135|000002302|
000000225|000000303|
000002100|000000315|
000002296|000001606|
000002199|000001606|
000002088|000002521|
000001447|000001450|
000001447|000000882|
000001449|000001454|
000001446|000001450|
000001446|000000882|
000002519|000001450|
000002519|000000882|
000002088|000002523|
000002088|000002522|
000002518|000001450|
000002518|000000882|
000002520|000002521|
000002520|000002523|
000002520|000002522|
000001556|000000958|
000000925|000002570|
000001038|000001372|
000001041|000001372|
000001054|000001372|
000001054|000001371|
000002460|000001372|
000002460|000001371|
000001369|000001044|
000001370|000001044|
000001053|000001372|
000001053|000001371|
000001053|000001056|
000001368|000001044|
000001037|000001044|
000001038|000001371|
000002750|000001044|
000001041|000001371|
000001367|000001044|
000001055|000001044|
000001058|000001044|
000001448|000001453|
000002569|000000946|
000001600|000001601|
000002385|000002374|
000002375|000002374|
000002605|000002374|
000002608|000002374|
000001394|000002374|
000001396|000002374|
000000889|000002374|
000000716|000002374|
000003712|000000946|
000003712|000002571|
000001016|000001020|
000001017|000001035|
000001472|000001474|
000001032|000001020|
000002754|000001020|
000001033|000001020|
000002755|000001020|
000002500|000001020|
000002623|000002631|
000002623|000002627|
000002625|000002631|
000002625|000002630|
000001455|000001114|
000001462|000002583|
000001129|000001132|
000001466|000001134|
000001589|000001142|
000001104|000001112|
000001467|000001132|
000001456|000001115|
000001106|000001114|
000001468|000001132|
000001469|000001132|
000001649|000001142|
000001138|000001142|
000001126|000001125|
000001647|000001142|
000001139|000001145|
000001463|000001127|
000002622|000002627|
000002623|000002630|
000002625|000002627|
000002626|000002627|
000000405|000000412|
000000406|000003701|
000000404|000000412|
000000404|000000411|
000000405|000000411|
000000410|000000422|
000000568|000000589|
000000583|000000586|
000001400|000000597|
000000588|000000613|
000000571|000000593|
000000577|000000590|
000000577|000000589|
000000580|000000591|
000000575|000000600|
000000568|000000590|
000000568|000000584|
000000582|000000589|
000000582|000000590|
000000582|000000584|
000000583|000000591|
000000574|000000596|
000000570|000000592|
000000572|000000594|
000000573|000000595|
000000569|000000590|
000000569|000000589|
000000569|000002532|
000000569|000002531|
000002535|000002536|
000000588|000000598|
000000588|000000597|
000002543|000000590|
000002543|000000589|
000002543|000002536|
000002543|000002532|
000002543|000002531|
000002534|000002536|
000000585|000000590|
000000585|000000589|
000000587|000000591|
000002542|000000589|
000002542|000002531|
000002542|000000590|
000002542|000002536|
000002542|000002532|
000000630|000000615|
000001400|000000613|
000001400|000000598|
000001464|000002584|
000001464|000002583|
000001462|000002584|
000002762|000002587|
000002762|000002509|
000002765|000002587|
000002765|000002509|
000002763|000002587|
000002763|000002509|
000002764|000002587|
000002764|000002509|
000000112|000002737|
000000158|000002098|
000002100|000001157|
000000225|000001157|
000000379|000000388|
000000379|000000381|
000000399|000000397|
000000399|000000381|
000000376|000000382|
000000376|000000384|
000000374|000000384|
000000374|000000382|
000001361|000000384|
000001361|000000382|
000000375|000000384|
000000375|000000382|
000000373|000000382|
000000373|000000384|
000000380|000000383|
000000377|000000384|
000000377|000000382|
000001362|000000384|
000001362|000000382|
000002472|000000903|
000001553|000000894|
000001553|000000909|
000000898|000000904|
000000898|000002066|
000002480|000000909|
000002480|000000908|
000002480|000000903|
000002480|000002507|
000002064|000000909|
000002064|000000908|
000002479|000002483|
000002472|000000909|
000002472|000000908|
000002472|000002507|
000000900|000000909|
000000900|000000908|
000000900|000000903|
000000900|000000894|
000000899|000000909|
000000899|000002507|
000001553|000000896|
000001553|000000903|
000000901|000000909|
000000901|000000894|
000000901|000000903|
000000901|000002507|
000000901|000000908|
000002482|000000909|
000002482|000000908|
000002482|000000903|
000002482|000000894|
000000902|000000909|
000000902|000000894|
000000902|000000903|
000000902|000002507|
000000902|000000908|
000002063|000000903|
000003702|000002588|
000003702|000000413|
000000439|000000443|
000000929|000002570|
000000932|000003582|
000000928|000000946|
000002199|000002798|
000000169|000000071|
000000169|000002799|
000000121|000000303|
000000121|000000070|
000000121|000002798|
000001348|000000241|
000002100|000001606|
000003831|000002797|
000002266|000002780|
000002266|000002270|
000001174|000001997|
000002773|000000305|
000002773|000000315|
000002773|000000303|
000002773|000002798|
000002775|000000305|
000002775|000002270|
000002775|000000303|
000002775|000002799|
000003831|000002799|
000002199|000002780|
000002597|000002598|
000002597|000002603|
000002596|000002598|
000002593|000002599|
000002594|000002599|
000000507|000000515|
000001572|000000514|
000001546|000000514|
000000510|000000511|
000000510|000000513|
000000510|000000512|
000001572|000000511|
000001572|000003716|
000001572|000000513|
000001567|000000513|
000001567|000000511|
000001567|000003716|
000001568|000000511|
000001568|000003716|
000001568|000000513|
000000508|000000511|
000000508|000003716|
000000508|000000513|
000001571|000000512|
000001571|000000511|
000001571|000000513|
000000509|000000511|
000000509|000003716|
000000509|000000513|
000002595|000002599|
000001565|000001574|
000002593|000002598|
000002594|000002598|
000000639|000000646|
000000634|000000644|
000000634|000002471|
000000643|000000648|
000000641|000000650|
000000640|000000646|
000000642|000000650|
000002793|000002780|
000001174|000002799|
000002793|000001606|
000002792|000001606|
000002792|000000303|
000002794|000001606|
000002794|000001157|
000002796|000002798|
000000094|000002712|
000000219|000000231|
000000219|000003873|
000000112|000000324|
000000877|000002614|
000000083|000000315|
000000159|000000241|
000000159|000002712|
000003832|000002285|
000003831|000002798|
000000218|000002798|
000000081|000002783|
000000218|000000126|
000000081|000003698|
000000081|000000303|
000000218|000002098|
000000218|000000303|
000002792|000001157|
000002792|000002780|
000002794|000002798|
000002794|000002797|
000002795|000003698|
000002795|000001157|
000002795|000001606|
000002793|000002798|
000002796|000003698|
000002796|000001157|
000002796|000002255|
000000226|000003698|
000000225|000002255|
000002793|000000303|
000002792|000000126|
000002792|000002798|
000002709|000001606|
000000158|000002797|
000001354|000000951|
000000942|000003876|
000001611|000003698|
000000151|000000324|
000000073|000002783|
000002773|000001606|
000000219|000001183|
000003597|000001020|
000002100|000000126|
000003831|000000303|
000003831|000002783|
000002677|000003873|
000002775|000000315|
000002775|000003698|
000002773|000003698|
000002773|000002202|
000001162|000001523|
000002707|000002797|
000002707|000000305|
000000073|000000070|
000001611|000002270|
000002266|000002202|
000001611|000002799|
000002748|000000116|
000000158|000002783|
000000083|000000165|
000000218|000000315|
000002100|000002783|
000000226|000002783|
000000226|000000315|
000002296|000000305|
000001611|000000070|
000002296|000000071|
000002296|000002799|
000000003|000000033|
000000003|000000023|
000001346|000002783|
000001346|000002799|
000001346|000002098|
000001993|000003691|
000002488|000003691|
000000158|000002780|
000002678|000002783|
000002100|000000303|
000002473|000002781|
000002090|000003842|
000002266|000000070|
000002296|000002797|
000002701|000001159|
000002793|000002255|
000002488|000000017|
000001527|000002712|
000003600|000001044|
000002794|000000303|
000001167|000002712|
000001472|000001034|
000002296|000000303|
000001172|000001177|
000001993|000003692|
000000876|000002613|
000000218|000000305|
000000225|000002780|
000002773|000002783|
000002296|000002780|
000000094|000000116|
000002296|000000070|
000000073|000001606|
000000121|000000315|
000000225|000003836|
000001346|000000071|
000002296|000001157|
000002796|000002780|
000000225|000003698|
000002796|000000303|
000000226|000000126|
000003592|000001044|
000003838|000001157|
000001993|000000017|
000002795|000002255|
000000073|000000071|
000001344|000000315|
000000899|000000908|
000002793|000002797|
000000140|000000326|
000002775|000001606|
000002266|000002798|
000000148|000000061|
000000148|000002202|
000000152|000000147|
000000226|000001157|
000000226|000001606|
000000225|000002098|
000000874|000002587|
000000152|000002797|
000002199|000002772|
000000119|000002718|
000001182|000002712|
000002775|000000126|
000002708|000003874|
000002701|000002779|
000000877|000000848|
000001536|000000021|
000002748|000002712|
000002234|000002780|
000002090|000002684|
000002266|000000303|
000000225|000000126|
000002709|000002783|
000000135|000000231|
000000576|000000607|
000002488|000003692|
000003831|000000126|
000002291|000000241|
000002707|000000070|
000002796|000002797|
000001579|000003874|
000001464|000002584|
000002291|000002712|
000000081|000001606|
000002480|000000894|
000002266|000003698|
000002795|000002783|
000000121|000002783|
000000225|000000070|
000002795|000002797|
000000225|000002783|
000000225|000002797|
000000226|000000071|
000000226|000002797|
000002090|000003727|
000002090|000000903|
000002090|000000382|
000002090|000001177|
000002090|000000882|
000002090|000002613|
000002090|000000305|
000002090|000002783|
000002090|000000849|
000002090|000002767|
000002090|000003816|
000002090|000003816|
000002090|000001157|
000002090|000003728|
000002090|000002780|
000002090|000003874|
000002090|000002587|
000002090|000003822|
000002090|000002781|
000002760|000001177|
000002760|000002799|
000002760|000001157|
000002760|000002587|
000002760|000000848|
000002760|000002685|
000002760|000003816|
000002760|000003813|
000002760|000002783|
000002760|000003824|
000002760|000000303|
000002760|000003825|
000002760|000002612|
000002760|000002779|
000002760|000003727|
000002760|000003874|
000002760|000000903|
000002760|000002683|
000002760|000003873|
000002760|000000849|
000002760|000000382|
000002760|000000305|
000000874|000003822|
000000874|000002797|
000000874|000000305|
000000874|000002799|
000000874|000000070|
000000874|000003729|
000000874|000002683|
000000874|000001606|
000000874|000002684|
000000874|000001177|
000000874|000003842|
000000874|000002613|
